ID,predict_val
9648984#11553075,1
14405981#6164462,0
5705979#973998,0
3418034#16694788,0
737780#12050629,0
2392768#14344634,0
928926#878895,0
3438458#8809339,0
3998241#5820797,0
15197137#8521591,0
5229814#10658731,0
16095827#12188374,0
1765003#14465800,0
14308676#14779350,0
5023160#7733250,0
16268303#674740,0
9366455#14013551,0
9597875#15489378,0
15786433#14446792,0
72675#11588186,0
786038#2838601,0
10969978#11312958,0
7703549#2762932,0
4997700#1948449,0
12289143#14958098,0
82228#720182,0
15786433#2658014,0
16289949#4422730,0
17316881#12687605,0
1948618#4748925,0
8080417#9514077,0
624792#8806489,0
16095827#10058812,0
12278029#17557460,0
4629011#5942105,0
16625218#4502912,0
10442864#13925964,0
15808194#11347714,0
7902082#8270502,0
5061040#6302760,1
1712663#15143948,0
2361538#13314234,0
4196824#15215397,0
3846666#10845153,0
5413672#1168719,0
2270518#3751588,0
15811361#3247628,0
12425074#10447099,0
737780#12646822,0
10446386#7581871,0
10099949#5359691,0
9437691#10590465,0
935362#12499708,0
5925762#17480747,0
5495617#9351155,0
15856907#14426098,0
13364373#10176785,0
14190253#11573926,0
1927364#1496284,0
8786270#16410652,0
5899606#16532248,0
268014#8837825,0
11166810#6800110,0
9493725#11983139,0
15856907#1346260,0
3418034#322016,0
16149193#3492222,0
15882782#2459919,0
5229814#3093496,0
7083643#8251132,0
5286105#6498849,0
5832817#565933,0
8935499#12808636,0
9597875#7796686,0
5899606#14201351,0
8187832#12587862,0
1765003#3901304,0
13506715#1072814,0
7421086#13031864,0
17557383#10575106,0
2617469#6218921,0
14886118#2595514,0
9813986#1496284,0
3622920#7015423,0
1282014#16999524,0
3959870#10501431,0
14243445#14996074,0
14886118#6031199,0
2628603#1712663,1
15197137#8261125,0
12425074#12859261,0
10541818#14452256,0
5925762#7373528,0
10541818#7408613,0
10035000#12987868,0
4572357#11815402,0
1491045#863315,0
16268303#16479327,0
1765003#490811,0
7703549#8899643,0
5495617#8219337,0
2193784#16868974,0
